"Date","Discharge","Suspended_Sediment_Conc","Avg_fraction_fines","Suspended_sed_load_t","SS_load_fines_t","SS_load_sand_t","Ungauged_BL","Total_Sed_discharge"
2015-08-26,6.330321507,0.456846032,0.778997736,0.3,0.2,0.1,0.098819495,0.4
2015-08-27,6.364382623,0.447203169,0.778809806,0.2,0.2,0,0.065447309,0.266666667
2015-08-25,6.373213283,0.439435673,0.779773362,0.2,0.2,0,0.065450778,0.266666667
2015-08-24,6.616056426,0.515631346,0.776096247,0.3,0.2,0.1,0.098547807,0.4
2015-08-23,6.664940435,0.507807384,0.7763189,0.3,0.2,0.1,0.098490788,0.4
2015-08-22,6.693640079,0.529777615,0.775692834,0.3,0.2,0.1,0.098463533,0.4
2014-10-10,6.758080058,45.40730344,0.688399921,26.6,18.3,8.3,8.7103168,35.46666667
2015-08-21,7.008074642,0.642320248,0.771370959,0.4,0.3,0.1,0.13141901,0.533333333
2014-10-09,7.050241461,48.90546203,0.686647649,29.8,20.5,9.3,9.925206236,39.73333333
2015-08-17,7.196987684,0.548867713,0.774536551,0.3,0.3,0,0.097802031,0.4
2014-09-15,7.229445449,7.107046311,0.722088753,4.4,3.2,1.2,1.412032331,5.866666667
2014-09-16,7.251167967,7.934047011,0.720260522,5,3.6,1.4,1.614942377,6.666666667
2015-08-16,7.288763469,0.525168022,0.775783377,0.3,0.3,0,0.097681893,0.4
2014-09-14,7.299724182,6.325112713,0.726068715,4,2.9,1.1,0.953817341,5.333333333
2015-08-18,7.312417022,0.618198248,0.771949154,0.4,0.3,0.1,0.130960355,0.533333333
2015-08-20,7.397254432,0.974132894,0.76298774,0.6,0.5,0.1,0.197547072,0.8
2015-10-06,7.422283376,0.227466085,0.792158003,0.1,0.1,0,NA,0.1
2014-09-13,7.445712277,9.556293033,0.714518908,6.1,4.4,1.7,1.965306145,8.133333333
2015-08-19,7.458122908,0.704537095,0.769308787,0.5,0.4,0.1,0.164071207,0.666666667
2015-10-05,7.508453692,0.252353193,0.789561162,0.2,0.1,0.1,NA,0.2
2014-09-17,7.524296678,7.958951358,0.720659345,5.2,3.7,1.5,1.7055552,6.933333333
2014-10-08,7.526065144,53.05690386,0.685095722,34.6,23.7,10.9,11.53060462,46.13333333
2015-08-28,7.6069826,1.526163606,0.753291327,1,0.8,0.2,0.330357729,1.333333333
2015-10-04,7.631104873,0.305638296,0.786164193,0.2,0.1,0.1,NA,0.2
2014-10-11,7.634249775,52.73210174,0.684553165,36.9,25.2,11.7,12.09709807,49.2
2014-09-12,7.713729807,7.335161039,0.72270717,4.9,3.5,1.4,1.451573188,6.533333333
2014-10-13,7.873576823,120.552831,0.645040571,87.6,56.3,31.3,29.16731451,116.8
2014-10-03,7.925467707,88.63966458,0.675964249,60.8,41.1,19.7,20.23638192,81.06666667
2015-10-03,7.931757511,0.366708596,0.783432153,0.3,0.2,0.1,NA,0.3
2015-08-06,7.96052437,0.494129456,0.777182441,0.3,0.3,0,0.096440956,0.4
2014-10-04,7.967294904,90.48139998,0.674792158,62.3,42,20.3,20.72404368,83.06666667
2015-08-07,7.983547162,0.492636253,0.777199366,0.3,0.3,0,0.096386593,0.4
2012-10-12,8,89.1,0.893,61.2,54.7,6.6,20,82
2015-08-12,8.007516095,0.674966665,0.770050521,0.5,0.4,0.1,0.163032019,0.666666667
2015-08-15,8.033377313,0.770371319,0.766610388,0.5,0.4,0.1,0.163081882,0.666666667
2014-09-11,8.055540007,7.373376994,0.722931179,5.1,3.7,1.4,-3.570003113,6.8
2013-09-20,8.06001229,134.992517,0.66901127,94.1,62.9,31.2,29.65015544,125.4666667
2015-10-02,8.063214417,0.422504789,0.77992657,0.3,0.2,0.1,NA,0.3
2014-10-06,8.068246261,79.30436445,0.677986225,55.2,37.4,17.8,18.31540997,73.6
2015-08-05,8.069961475,0.678223766,0.770891401,0.5,0.4,0.1,0.162925731,0.666666667
2015-08-13,8.075322947,0.623701696,0.771854358,0.4,0.3,0.1,0.129517329,0.533333333
2014-10-07,8.09780834,69.81384751,0.679912376,48.8,33.2,15.6,16.23912374,65.06666667
2012-10-11,8.1,97.8,0.874,68.9,60.2,8.7,22,92
2014-10-05,8.105670595,68.3110306,0.680894075,47.8,32.5,15.3,15.91885018,63.73333333
2015-08-11,8.1169532,0.693300054,0.769507639,0.5,0.4,0.1,0.162768602,0.666666667
2015-08-14,8.129568428,0.851277051,0.76553759,0.6,0.5,0.1,0.196055259,0.8
2014-09-22,8.178847238,8.826150539,0.719787697,6.2,4.5,1.7,1.898382614,8.266666667
2014-09-21,8.206000384,9.759743437,0.71763164,6.9,5,1.9,2.040761209,9.2
2015-10-01,8.230661011,0.472183387,0.778237235,0.3,0.2,0.1,NA,0.3
2015-08-08,8.276851217,0.590729953,0.773239292,0.4,0.3,0.1,0.129070405,0.533333333
2012-10-10,8.3,92.3,0.894,66.2,59.2,7,21,88
2015-08-10,8.319112232,0.59607201,0.772918359,0.4,0.3,0.1,0.128981638,0.533333333
